Question,Option1,Option2,Option3,Option4,CorrectOption,Explanation
"What is the definition of a metaphor?", "A figure of speech comparing two unlike things without using 'like' or 'as'", "A comparison using 'like' or 'as'", "A direct address to an absent or imaginary person or a personified abstraction", "A figure of speech in which a term is applied to something to which it is not literally applicable", "A figure of speech comparing two unlike things without using 'like' or 'as'", "A metaphor is a figure of speech in which a term or phrase is applied to something to which it is not literally applicable in order to suggest a resemblance."
"What is the plural form of 'child'?", "Childs", "Childes", "Children", "Childs", "Children", "The plural form of 'child' is 'children'."
"What is the past tense of 'run'?", "Ran", "Runned", "Running", "Rund", "Ran", "The past tense of 'run' is 'ran'."
"What is a synonym for 'happy'?", "Sad", "Joyful", "Angry", "Tired", "Joyful", "A synonym for 'happy' is 'joyful'."
"What is an antonym for 'hot'?", "Cold", "Warm", "Burning", "Freezing", "Cold", "An antonym for 'hot' is 'cold'."
"What is the plural form of 'goose'?", "Gooses", "Geeses", "Goose", "Geese", "Geese", "The plural form of 'goose' is 'geese'."
"What is the definition of a simile?", "A figure of speech comparing two unlike things without using 'like' or 'as'", "A comparison using 'like' or 'as'", "A direct address to an absent or imaginary person or a personified abstraction", "A figure of speech in which a term is applied to something to which it is not literally applicable", "A comparison using 'like' or 'as'", "A simile is a figure of speech involving the comparison of one thing with another thing of a different kind used to make a description more emphatic or vivid."
"What is the past tense of 'eat'?", "Ate", "Eaten", "Eating", "Ating", "Ate", "The past tense of 'eat' is 'ate'."
"What is a synonym for 'big'?", "Large", "Small", "Huge", "Tiny", "Large", "A synonym for 'big' is 'large'."
"What is an antonym for 'sad'?", "Happy", "Joyful", "Angry", "Tired", "Happy", "An antonym for 'sad' is 'happy'."
"What is the plural form of 'mouse' (the animal)?", "Mouses", "Mice", "Mouse", "Mices", "Mice", "The plural form of 'mouse' is 'mice'."
"What is the definition of a hyperbole?", "A figure of speech comparing two unlike things without using 'like' or 'as'", "A comparison using 'like' or 'as'", "An exaggerated statement or claim not meant to be taken literally", "A figure of speech in which a term is applied to something to which it is not literally applicable", "An exaggerated statement or claim not meant to be taken literally", "A hyperbole is an exaggerated statement or claim not meant to be taken literally."
"What is the past tense of 'write'?", "Writ", "Wrote", "Written", "Writing", "Wrote", "The past tense of 'write' is 'wrote'."
"What is a synonym for 'fast'?", "Slow", "Quick", "Swift", "Speedy", "Quick", "A synonym for 'fast' is 'quick'."
"What is an antonym for 'tall'?", "Short", "High", "Long", "Low", "Short", "An antonym for 'tall' is 'short'."
"What is the plural form of 'leaf'?", "Leafs", "Leaves", "Leafs", "Leaves", "Leaves", "The plural form of 'leaf' is 'leaves'."
"What is the definition of a personification?", "A figure of speech comparing two unlike things without using 'like' or 'as'", "A comparison using 'like' or 'as'", "A direct address to an absent or imaginary person or a personified abstraction", "A figure of speech in which a term is applied to something to which it is not literally applicable", "A figure of speech in which a term is applied to something to which it is not literally applicable", "Personification is a figure of speech in which a thing an idea or an animal is given human attributes."
"What is the past tense of 'see'?", "Seed", "Saw", "Seen", "Seeing", "Saw", "The past tense of 'see' is 'saw'."
"What is a synonym for 'beautiful'?", "Ugly", "Pretty", "Handsome", "Attractive", "Pretty", "A synonym for 'beautiful' is 'pretty'."
"What is an antonym for 'rich'?", "Poor", "Wealthy", "Affluent", "Prosperous", "Poor", "An antonym for 'rich' is 'poor'."
"What is the plural form of 'foot'?", "Foots", "Feets", "Footies", "Feet", "Feet", "The plural form of 'foot' is 'feet'."
"What is the definition of an oxymoron?", "A figure of speech comparing two unlike things without using 'like' or 'as'", "A comparison using 'like' or 'as'", "A direct address to an absent or imaginary person or a personified abstraction", "A figure of speech in which contradictory terms appear in conjunction", "A figure of speech in which contradictory terms appear in conjunction", "An oxymoron is a figure of speech in which contradictory terms appear in conjunction."
"What is the past tense of 'take'?", "Took", "Taken", "Tooken", "Taking", "Took", "The past tense of 'take' is 'took'."
"What is a synonym for 'sad'?", "Happy", "Joyful", "Angry", "Mournful", "Mournful", "A synonym for 'sad' is 'mournful'."
"What is an antonym for 'fast'?", "Slow", "Quick", "Swift", "Speedy", "Slow", "An antonym for 'fast' is 'slow'."
"What is the plural form of 'child'?", "Childs", "Childes", "Children", "Childs", "Children", "The plural form of 'child' is 'children'."
"What is the past tense of 'go'?", "Went", "Goed", "Gone", "Going", "Went", "The past tense of 'go' is 'went'."
"What is a synonym for 'tiny'?", "Large", "Small", "Huge", "Gigantic", "Small", "A synonym for 'tiny' is 'small'."
"What is an antonym for 'quiet'?", "Loud", "Soft", "Peaceful", "Calm", "Loud", "An antonym for 'quiet' is 'loud'."
